Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Samples
2,27,257,4,233,0.54510556621881,0.8709677419354839,0.10384615384615385,0.9846743295019157,0.18556701030927836,0.10695862770080566,0.10695862770080566,521
3,27,257,4,233,0.54510556621881,0.8709677419354839,0.10384615384615385,0.9846743295019157,0.18556701030927836,0.018943071365356445,0.018943071365356445,521
4,27,257,4,233,0.54510556621881,0.8709677419354839,0.10384615384615385,0.9846743295019157,0.18556701030927836,0.017903566360473633,0.017903566360473633,521
5,233,4,257,27,0.45489443378119004,0.47551020408163264,0.8961538461538462,0.01532567049808429,0.6213333333333333,0.018135786056518555,0.018135786056518555,521
6,160,187,74,100,0.6660268714011516,0.6837606837606838,0.6153846153846154,0.7164750957854407,0.6477732793522267,0.01825737953186035,0.01825737953186035,521
7,2,261,0,258,0.5047984644913628,1.0,0.007692307692307693,1.0,0.015267175572519085,0.02800893783569336,0.02800893783569336,521
8,2,261,0,258,0.5047984644913628,1.0,0.007692307692307693,1.0,0.015267175572519085,0.024683237075805664,0.024683237075805664,521
9,2,261,0,258,0.5047984644913628,1.0,0.007692307692307693,1.0,0.015267175572519085,0.09718012809753418,0.09718012809753418,521
10,2,258,3,258,0.4990403071017274,0.4,0.007692307692307693,0.9885057471264368,0.015094339622641511,0.02468562126159668,0.02468562126159668,521
11,1,261,0,259,0.5028790786948176,1.0,0.0038461538461538464,1.0,0.007662835249042146,0.027682781219482422,0.027682781219482422,521
12,1,261,0,259,0.5028790786948176,1.0,0.0038461538461538464,1.0,0.007662835249042146,0.027196884155273438,0.027196884155273438,521
13,0,261,0,260,0.5009596928982726,0,0.0,1.0,0,0.03864312171936035,0.03864312171936035,521
14,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.03242039680480957,0.03242039680480957,521
15,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.03351902961730957,0.03351902961730957,521
16,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.027483463287353516,0.027483463287353516,521
17,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.03795647621154785,0.03795647621154785,521
18,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.027494192123413086,0.027494192123413086,521
19,0,259,2,260,0.4971209213051823,0.0,0.0,0.9923371647509579,0,0.026460647583007812,0.026460647583007812,521
2,0,510,11,521,0.4894433781190019,0.0,0.0,0.9788867562380038,0,0.06718063354492188,0.06718063354492188,1042
3,58,511,10,463,0.5460652591170825,0.8529411764705882,0.11132437619961612,0.980806142034549,0.1969439728353141,0.06130051612854004,0.06130051612854004,1042
4,58,511,10,463,0.5460652591170825,0.8529411764705882,0.11132437619961612,0.980806142034549,0.1969439728353141,0.06089973449707031,0.06089973449707031,1042
5,58,511,10,463,0.5460652591170825,0.8529411764705882,0.11132437619961612,0.980806142034549,0.1969439728353141,0.0619654655456543,0.0619654655456543,1042
6,335,378,143,186,0.6842610364683301,0.700836820083682,0.6429942418426103,0.72552783109405,0.6706706706706707,0.06131792068481445,0.06131792068481445,1042
7,2,521,0,519,0.5019193857965452,1.0,0.003838771593090211,1.0,0.007648183556405353,0.12462401390075684,0.12462401390075684,1042
8,2,521,0,519,0.5019193857965452,1.0,0.003838771593090211,1.0,0.007648183556405353,0.09300374984741211,0.09300374984741211,1042
9,1,521,0,520,0.5009596928982726,1.0,0.0019193857965451055,1.0,0.0038314176245210726,0.11352133750915527,0.11352133750915527,1042
10,2,521,0,519,0.5019193857965452,1.0,0.003838771593090211,1.0,0.007648183556405353,0.08136200904846191,0.08136200904846191,1042
11,2,521,0,519,0.5019193857965452,1.0,0.003838771593090211,1.0,0.007648183556405353,0.08890080451965332,0.08890080451965332,1042
12,1,520,1,520,0.5,0.5,0.0019193857965451055,0.9980806142034548,0.0038240917782026763,0.08898377418518066,0.08898377418518066,1042
13,1,520,1,520,0.5,0.5,0.0019193857965451055,0.9980806142034548,0.0038240917782026763,0.0890505313873291,0.0890505313873291,1042
14,1,520,1,520,0.5,0.5,0.0019193857965451055,0.9980806142034548,0.0038240917782026763,0.11161565780639648,0.11161565780639648,1042
15,1,520,1,520,0.5,0.5,0.0019193857965451055,0.9980806142034548,0.0038240917782026763,0.0894317626953125,0.0894317626953125,1042
16,1,520,1,520,0.5,0.5,0.0019193857965451055,0.9980806142034548,0.0038240917782026763,1.888408899307251,1.888408899307251,1042
17,1,520,1,520,0.5,0.5,0.0019193857965451055,0.9980806142034548,0.0038240917782026763,0.09009647369384766,0.09009647369384766,1042
18,1,520,1,520,0.5,0.5,0.0019193857965451055,0.9980806142034548,0.0038240917782026763,0.0976109504699707,0.0976109504699707,1042
19,1,520,1,520,0.5,0.5,0.0019193857965451055,0.9980806142034548,0.0038240917782026763,0.12747788429260254,0.12747788429260254,1042
2,0,765,17,781,0.4894433781190019,0.0,0.0,0.9782608695652174,0,0.17050981521606445,0.17050981521606445,1563
3,80,767,15,701,0.5419065898912349,0.8421052631578947,0.10243277848911651,0.9808184143222506,0.18264840182648404,0.17491674423217773,0.17491674423217773,1563
4,80,767,15,701,0.5419065898912349,0.8421052631578947,0.10243277848911651,0.9808184143222506,0.18264840182648404,0.17607784271240234,0.17607784271240234,1563
5,80,767,15,701,0.5419065898912349,0.8421052631578947,0.10243277848911651,0.9808184143222506,0.18264840182648404,0.17519569396972656,0.17519569396972656,1563
6,282,221,561,499,0.3218170185540627,0.33451957295373663,0.36107554417413573,0.2826086956521739,0.34729064039408863,0.17549490928649902,0.17549490928649902,1563
7,1,782,0,780,0.5009596928982726,1.0,0.0012804097311139564,1.0,0.0025575447570332483,1.0064237117767334,1.0064237117767334,1563
8,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,1.1792900562286377,1.1792900562286377,1563
9,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,4.78188419342041,4.78188419342041,1563
10,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,8.956900596618652,8.956900596618652,1563
11,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,0.33153414726257324,0.33153414726257324,1563
12,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,0.3140981197357178,0.3140981197357178,1563
13,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,0.3136906623840332,0.3136906623840332,1563
14,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,0.36686253547668457,0.36686253547668457,1563
15,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,0.3504800796508789,0.3504800796508789,1563
16,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,0.34860825538635254,0.34860825538635254,1563
17,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,0.31430912017822266,0.31430912017822266,1563
18,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,0.3505666255950928,0.3505666255950928,1563
19,0,782,0,781,0.5003198976327575,0,0.0,1.0,0,0.36737895011901855,0.36737895011901855,1563
2,0,1021,21,1042,0.4899232245681382,0.0,0.0,0.9798464491362764,0,0.2990298271179199,0.2990298271179199,2084
3,100,1024,18,942,0.5393474088291746,0.847457627118644,0.09596928982725528,0.982725527831094,0.1724137931034483,0.3007540702819824,0.3007540702819824,2084
4,99,1024,18,943,0.5388675623800384,0.8461538461538461,0.09500959692898273,0.982725527831094,0.17083692838654013,0.3000915050506592,0.3000915050506592,2084
5,673,744,298,369,0.6799424184261037,0.6930998970133883,0.6458733205374281,0.7140115163147792,0.6686537506209638,0.3004748821258545,0.3004748821258545,2084
6,383,295,747,659,0.3253358925143954,0.33893805309734515,0.3675623800383877,0.28310940499040305,0.35267034990791896,0.3008718490600586,0.3008718490600586,2084
7,3,1039,3,1039,0.5,0.5,0.0028790786948176585,0.9971209213051824,0.005725190839694657,19.23233437538147,19.23233437538147,2084
8,0,1042,0,1042,0.5,0,0.0,1.0,0,853.5708875656128,853.5708875656128,2084
9,0,1042,0,1042,0.5,0,0.0,1.0,0,850.9100716114044,850.9100716114044,2084
10,0,1042,0,1042,0.5,0,0.0,1.0,0,854.0133187770844,854.0133187770844,2084
11,0,1042,0,1042,0.5,0,0.0,1.0,0,848.4133741855621,848.4133741855621,2084
12,0,1042,0,1042,0.5,0,0.0,1.0,0,851.6245946884155,851.6245946884155,2084
13,0,1042,0,1042,0.5,0,0.0,1.0,0,849.0018947124481,849.0018947124481,2084
14,0,1042,0,1042,0.5,0,0.0,1.0,0,851.1907591819763,851.1907591819763,2084
15,0,1042,0,1042,0.5,0,0.0,1.0,0,849.162745475769,849.162745475769,2084
16,0,1042,0,1042,0.5,0,0.0,1.0,0,854.2908129692078,854.2908129692078,2084
17,0,1042,0,1042,0.5,0,0.0,1.0,0,848.6596722602844,848.6596722602844,2084
18,0,1042,0,1042,0.5,0,0.0,1.0,0,850.2820048332214,850.2820048332214,2084
19,0,1042,0,1042,0.5,0,0.0,1.0,0,848.7499513626099,848.7499513626099,2084
2,0,1271,32,1302,0.48790786948176584,0.0,0.0,0.97544128933231,0,0.5115821361541748,0.5115821361541748,2605
3,17,1303,0,1285,0.5067178502879078,1.0,0.013056835637480798,1.0,0.025777103866565582,0.5106716156005859,0.5106716156005859,2605
4,17,1303,0,1285,0.5067178502879078,1.0,0.013056835637480798,1.0,0.025777103866565582,0.5102648735046387,0.5102648735046387,2605
5,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,2.1382272243499756,2.1382272243499756,2605
6,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,0.8994522094726562,0.8994522094726562,2605
7,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,0.9095699787139893,0.9095699787139893,2605
8,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,1.0651516914367676,1.0651516914367676,2605
9,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,0.7361218929290771,0.7361218929290771,2605
10,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,52.07349514961243,52.07349514961243,2605
11,1,1302,1,1301,0.5001919385796545,0.5,0.0007680491551459293,0.9992325402916347,0.0015337423312883436,0.8448684215545654,0.8448684215545654,2605
12,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,0.856966495513916,0.856966495513916,2605
13,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,0.8003079891204834,0.8003079891204834,2605
14,2,1303,0,1300,0.5009596928982726,1.0,0.0015360983102918587,1.0,0.003067484662576687,0.8594059944152832,0.8594059944152832,2605
15,2,1303,0,1300,0.5009596928982726,1.0,0.0015360983102918587,1.0,0.003067484662576687,0.8605117797851562,0.8605117797851562,2605
16,2,1303,0,1300,0.5009596928982726,1.0,0.0015360983102918587,1.0,0.003067484662576687,0.9734470844268799,0.9734470844268799,2605
17,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,0.8002831935882568,0.8002831935882568,2605
18,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,0.8007674217224121,0.8007674217224121,2605
19,1,1303,0,1301,0.5005758157389635,1.0,0.0007680491551459293,1.0,0.0015349194167306218,0.9153316020965576,0.9153316020965576,2605
2,0,1526,37,1563,0.48816378758797185,0.0,0.0,0.9763275751759437,0,0.7065129280090332,0.7065129280090332,3126
3,15,1563,0,1548,0.5047984644913628,1.0,0.009596928982725527,1.0,0.01901140684410646,0.7055459022521973,0.7055459022521973,3126
4,19,1563,0,1544,0.5060780550223928,1.0,0.01215611004478567,1.0,0.024020227560050574,0.7050540447235107,0.7050540447235107,3126
5,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,6.881166219711304,6.881166219711304,3126
6,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,1.0315351486206055,1.0315351486206055,3126
7,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,1.7466769218444824,1.7466769218444824,3126
8,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,0.9443879127502441,0.9443879127502441,3126
9,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,1.1321964263916016,1.1321964263916016,3126
10,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,1.4205856323242188,1.4205856323242188,3126
11,1,1562,1,1562,0.5,0.5,0.0006397952655150352,0.999360204734485,0.001277955271565495,1.309164047241211,1.309164047241211,3126
12,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,61.2039315700531,61.2039315700531,3126
13,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,2950.296115398407,2950.296115398407,3126
14,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,3045.7325432300568,3045.7325432300568,3126
15,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,3107.3131778240204,3107.3131778240204,3126
16,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,3095.563850879669,3095.563850879669,3126
17,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,3112.0649514198303,3112.0649514198303,3126
18,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,3093.9786763191223,3093.9786763191223,3126
19,1,1563,0,1562,0.5003198976327575,1.0,0.0006397952655150352,1.0,0.001278772378516624,3116.836629629135,3116.836629629135,3126
2,0,1781,43,1823,0.48834658623526184,0.0,0.0,0.9764254385964912,0,1.0298666954040527,1.0298666954040527,3647
3,21,1824,0,1802,0.5058952563751028,1.0,0.01151947339550192,1.0,0.022776572668112796,1.0306603908538818,1.0306603908538818,3647
4,21,1824,0,1802,0.5058952563751028,1.0,0.01151947339550192,1.0,0.022776572668112796,1.0298194885253906,1.0298194885253906,3647
5,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,38.89768195152283,38.89768195152283,3647
6,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,2.0591959953308105,2.0591959953308105,3647
7,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,1.94272780418396,1.94272780418396,3647
8,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,2.250499963760376,2.250499963760376,3647
9,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,321.66953706741333,321.66953706741333,3647
10,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,146.9156014919281,146.9156014919281,3647
11,1,1823,1,1822,0.5001370989854675,0.5,0.0005485463521667581,0.9994517543859649,0.0010958904109589042,1.4936738014221191,1.4936738014221191,3647
12,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,4753.7621467113495,4753.7621467113495,3647
13,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,4754.83785367012,4754.83785367012,3647
14,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,5017.157819271088,5017.157819271088,3647
15,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,5001.30356836319,5001.30356836319,3647
16,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,5004.525745630264,5004.525745630264,3647
17,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,5002.305418014526,5002.305418014526,3647
18,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,5002.527815818787,5002.527815818787,3647
19,1,1824,0,1822,0.5004112969564025,1.0,0.0005485463521667581,1.0,0.0010964912280701754,5000.656172513962,5000.656172513962,3647
2,0,2036,48,2084,0.4884836852207294,0.0,0.0,0.9769673704414588,0,1.324031114578247,1.324031114578247,4168
3,18,2084,0,2066,0.5043186180422264,1.0,0.008637236084452975,1.0,0.01712654614652712,1.3221218585968018,1.3221218585968018,4168
4,22,2084,0,2062,0.505278310940499,1.0,0.01055662188099808,1.0,0.020892687559354226,1.3234367370605469,1.3234367370605469,4168
5,22,2084,0,2062,0.505278310940499,1.0,0.01055662188099808,1.0,0.020892687559354226,1.3221125602722168,1.3221125602722168,4168
6,22,2084,0,2062,0.505278310940499,1.0,0.01055662188099808,1.0,0.020892687559354226,1.3230924606323242,1.3230924606323242,4168
7,1,2084,0,2083,0.5002399232245681,1.0,0.0004798464491362764,1.0,0.0009592326139088729,2.425780773162842,2.425780773162842,4168
8,1,2084,0,2083,0.5002399232245681,1.0,0.0004798464491362764,1.0,0.0009592326139088729,3.3059630393981934,3.3059630393981934,4168
9,1,2084,0,2083,0.5002399232245681,1.0,0.0004798464491362764,1.0,0.0009592326139088729,2.1076879501342773,2.1076879501342773,4168
